model,experiment,mse,mae,corr,noise_level
FC,main,0.007059593219310045,0.05238920450210571,0.9548582329346994,
RNN,main,0.005218167323619127,0.045597996562719345,0.9589362756160784,
LSTM,main,0.008353551849722862,0.055540259927511215,0.9457431530007941,
FC,noise_sweep,0.0010586275020614266,,,0.0
FC,noise_sweep,0.0019106593681499362,,,0.1
FC,noise_sweep,0.004504253156483173,,,0.3
FC,noise_sweep,0.009938263334333897,,,0.5
FC,noise_sweep,0.02678486704826355,,,1.0
RNN,noise_sweep,7.003229256952181e-05,,,0.0
RNN,noise_sweep,0.0008407147834077477,,,0.1
RNN,noise_sweep,0.003839668817818165,,,0.3
RNN,noise_sweep,0.00757804187014699,,,0.5
RNN,noise_sweep,0.022931519895792007,,,1.0
LSTM,noise_sweep,9.330634929938242e-05,,,0.0
LSTM,noise_sweep,0.0010182762052863836,,,0.1
LSTM,noise_sweep,0.004760388284921646,,,0.3
LSTM,noise_sweep,0.010167798027396202,,,0.5
LSTM,noise_sweep,0.02617957815527916,,,1.0
